Time	"Time Code"	"Country Name"	"Country Code"	"Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS]"	"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]"	"Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]"	"Incidence of HIV, all (per 1,000 uninfected population) [SH.HIV.INCD.TL.P3]"	"Incidence of malaria (per 1,000 population at risk) [SH.MLR.INCD.P3]"	"Incidence of tuberculosis (per 100,000 people) [SH.TBS.INCD]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"	"Mortality rate, adult, female (per 1,000 female adults) [SP.DYN.AMRT.FE]"	"Mortality rate, adult, male (per 1,000 male adults) [SP.DYN.AMRT.MA]"	"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]"	"Number of infant deaths [SH.DTH.IMRT]"	"Number of maternal deaths [SH.MMR.DTHS]"	"Number of neonatal deaths [SH.DTH.NMRT]"	"Number of surgical procedures (per 100,000 population) [SH.SGR.PROC.P5]"	"People using safely managed drinking water services, rural (% of rural population) [SH.H2O.SMDW.RU.ZS]"	"People using safely managed drinking water services, urban (% of urban population) [SH.H2O.SMDW.UR.ZS]"	"People using safely managed drinking water services (% of population) [SH.H2O.SMDW.ZS]"	"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]"	"Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS]"	"Population ages 15-64 (% of total population) [SP.POP.1564.TO.ZS]"	"Population ages 65 and above, total [SP.POP.65UP.TO]"	"Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS]"	"Poverty gap at $3.20 a day (2011 PPP) (%) [SI.POV.LMIC.GP]"	"Poverty gap at $5.50 a day (2011 PPP) (%) [SI.POV.UMIC.GP]"	"Pregnant women receiving prenatal care (%) [SH.STA.ANVC.ZS]"
2014	"YR2014"	"Bolivia"	"BOL"	""	"2.947"	"1.15"	"0.1"	"2.25478029068384"	"120"	"69.891"	"155.437"	"219.093"	"26.4"	"6540"	"440"	"4411"	""	""	""	""	""	"32.8477225600071"	"60.5287508533354"	"709149"	"2.5"	"5.1"	"10.5"	""
2014	"YR2014"	"Bosnia and Herzegovina"	"BIH"	""	"1.303"	"3.49"	""	""	"43"	"76.723"	"65.777"	"129.214"	"5.5"	"173"	"3"	"144"	""	""	""	"88.8171851442859"	"2.1326"	"15.2304137870627"	"70.4249584662151"	"499495"	""	""	""	""
2014	"YR2014"	"Botswana"	"BWA"	""	"2.988"	""	"6.53"	"1.49850005560699"	"385"	"66.265"	"210.225"	"328.456"	"31"	"1740"	"91"	"915"	""	""	"83.4408908770776"	""	""	"34.9304181042201"	"61.3487961896335"	"77713"	""	""	""	""
2014	"YR2014"	"Brazil"	"BRA"	""	"1.758"	"2.22"	"0.24"	"3.59735808424666"	"43"	"74.745"	"96.498"	"196.135"	"14.5"	"42878"	"1800"	"28855"	""	""	"92.0930488577892"	""	""	"22.8674911148684"	"69.3906196906341"	"15697744"	"0.9"	"2.4"	"6.4"	""
2014	"YR2014"	"British Virgin Islands"	"VGB"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2014	"YR2014"	"Brunei Darussalam"	"BRN"	""	"1.969"	"2.43"	""	""	"56"	"75.193"	"74.085"	"104.669"	"8.6"	"59"	"2"	"34"	""	""	""	""	"1.5105"	"24.4767173700304"	"71.6471963472103"	"15883"	""	""	""	""
2014	"YR2014"	"Bulgaria"	"BGR"	""	"1.53"	"7.13"	"0.03"	""	"31"	"74.4658536585366"	"88.291"	"190.232"	"7.2"	"492"	"7"	"286"	""	""	""	"97.0116481886528"	"3.975"	"14.0938295909019"	"66.2442796680931"	"1420363"	"0.5"	"1.5"	"3.6"	""
2014	"YR2014"	"Burkina Faso"	"BFA"	""	"5.521"	""	"0.22"	"436.063081665565"	"54"	"59.45"	"247.36"	"277.806"	"61.1"	"42271"	"2500"	"20074"	""	""	""	""	"0.0487"	"45.767236835147"	"51.8094817306692"	"426159"	"11.2"	"32.3"	"55"	""
2014	"YR2014"	"Burundi"	"BDI"	""	"5.797"	"0.79"	"0.34"	"141.507558535644"	"126"	"59.665"	"269.141"	"327.373"	"48"	"19299"	"2400"	"9822"	""	""	""	""	"0.0619"	"45.4436826837543"	"52.4739547224236"	"204994"	""	""	""	""
2014	"YR2014"	"Cabo Verde"	"CPV"	""	"2.425"	""	"0.22"	"0.19294847533599"	"66"	"71.886"	"104.653"	"150.018"	"17.9"	"196"	"7"	"138"	""	""	""	""	""	"30.2905236835555"	"65.1147758605054"	"23813"	""	""	""	""
